Organization_A,Organization_B,Initiative_A,Initiative_B,Similarity_Score,Cluster_A,Cluster_B,Same_Cluster
ECOLAB,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35426486,2,3,False
Bankenverband,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35384393,3,5,False
Instituto Nacional de Administração IP Portugal,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35374397,3,2,False
EuroStack Project,Maastricht School of Management,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35333133,3,2,False
Anonymous_8,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35315526,0,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35273334,3,5,False
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35266927,1,3,False
GROUPE VYV,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3523165,3,2,False
Anonymous,Anonymous_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35228014,1,4,False
Anonymous_6,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3522383,4,0,False
bert hubert,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35209787,2,3,False
Anonymous_3,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3519465,2,3,False
Francisco José Viturro Barreiro,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3514557,4,3,False
AMALIA MARIA KOUTSOGIANNI,Andre REBENTISCH,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35144785,1,2,False
Anonymous_9,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35124573,4,3,False
GROUPE VYV,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35119992,3,3,True
David Van Geert,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35111707,2,3,False
Anonymous_9,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35079598,4,2,False
Anonymous_4,David Van Geert,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35029888,4,2,False
Anonymous,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35024405,1,1,True
Agroecology Europe,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35017794,3,0,False
Ministry of the Economy Luxembourg,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.35002083,3,2,False
Anonymous_4,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34986648,4,2,False
Andre REBENTISCH,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34969842,2,3,False
Davy Anthonissen,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34958264,2,2,True
Francisco José Viturro Barreiro,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34952763,4,2,False
Anonymous_5,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34917063,2,3,False
Simon Önnered,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3491595,3,3,True
Philea,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3490854,3,3,True
Fraunhofer IAO,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3489104,5,2,False
EUPHA European Public Health Association,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3487131,3,3,True
Andre REBENTISCH,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34830573,2,3,False
Anonymous_8,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34829012,0,3,False
Matthew Spaniol,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34826896,1,1,True
Special Secretariat of Foresight,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34807,1,2,False
Gabriele De Giorgi,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3477111,2,1,False
Maria Lindqvist,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.347668,2,3,False
Anonymous_9,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34741563,4,3,False
Special Secretariat of Foresight,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3471197,1,2,False
Egmont - Royal Institute for International Relations,Maastricht School of Management,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3470881,3,2,False
David Van Geert,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34690782,2,3,False
ECOLAB,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34679085,2,3,False
TES,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34650928,3,2,False
SUEZ,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34641188,2,2,True
SPES project - Sustainabilty Performances Evidence and Scenarios,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3463203,3,2,False
Anonymous_4,Antonio Mincarini,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34621185,4,4,True
Anonymous_9,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3461746,4,3,False
Ioannis Lamprou,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34617323,3,1,False
Andre REBENTISCH,Anonymous_9,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34615925,2,4,False
AMALIA MARIA KOUTSOGIANNI,Anonymous_9,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34576946,1,4,False
Anonymous_6,Esteban Carlos Borzino,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34562054,4,4,True
Anonymous_3,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3456,2,1,False
Gaël QUEINNEC,Nicolas Overloop,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3453167,4,2,False
EUPHA European Public Health Association,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34523606,3,2,False
Maastricht School of Management,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34517625,2,2,True
AMALIA MARIA KOUTSOGIANNI,Matthew Spaniol,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3451681,1,1,True
F Hanna Campbell,Maastricht School of Management,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34506598,3,2,False
bert hubert,David Van Geert,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.345036,2,2,True
David Van Geert,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3446274,2,2,True
Nicolas Overloop_1,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34450418,2,3,False
Egmont - Royal Institute for International Relations,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3443634,3,5,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,GROUPE VYV,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34432638,1,3,False
Anonymous_11,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34422642,4,0,False
Kansaneläkelaitos Kela,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.344201,0,3,False
Anonymous_1,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3441491,4,0,False
Association internationale Futuribles,ECOLAB,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34409633,3,2,False
Davy Anthonissen,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34406653,2,3,False
Anonymous_3,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3439197,2,3,False
EuroStack Project,Matthew Spaniol,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34388053,3,1,False
Simon Önnered,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34360152,3,1,False
Gaël QUEINNEC,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3434861,4,3,False
Andre REBENTISCH,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34315288,2,3,False
Anonymous_6,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34279072,4,3,False
CHEM Trust,Matthew Spaniol,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3423922,3,1,False
TES,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34227517,3,3,True
SPES project - Sustainabilty Performances Evidence and Scenarios,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34199467,3,3,True
Juan Bartolomé García Martínez,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34149656,3,3,True
CHEM Trust,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34123507,3,3,True
Anonymous_9,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34118822,4,3,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Ivana Nemčicová,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34103167,1,0,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34069067,1,3,False
Anonymous_6,Kai Wellmann,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34064347,4,0,False
TES,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3404711,3,3,True
TES,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34035596,3,1,False
AMALIA MARIA KOUTSOGIANNI,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34027836,1,0,False
AMALIA MARIA KOUTSOGIANNI,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.34027418,1,3,False
Agroecology Europe,Anonymous_8,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3401513,3,0,False
Maria Lindqvist,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33907,2,3,False
EuroStack Project,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3390485,3,1,False
Anonymous_3,ECOLAB,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33885828,2,2,True
Anonymous_9,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33881983,4,0,False
Anonymous_1,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33865213,4,3,False
Anonymous_9,F Hanna Campbell,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33857393,4,3,False
Anonymous_4,Joni Suikeli,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33857048,4,0,False
Anonymous_5,Matthew Spaniol,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33852285,2,1,False
Anonymous_3,Philea,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33832583,2,3,False
Andre REBENTISCH,GROUPE VYV,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33826625,2,3,False
Transfer Pricing Services SRL,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33814007,1,2,False
Anonymous_9,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33810204,4,1,False
Fraunhofer IAO,UAP Coalition Netherlands,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.338063,5,3,False
Gabriele De Giorgi,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33785424,2,3,False
Association internationale Futuribles,Esteban Carlos Borzino,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33767268,3,4,False
ECOLAB,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3375063,2,5,False
Anonymous_10,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33744884,5,5,True
Fraunhofer IAO,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3373984,5,1,False
Andre REBENTISCH,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33733654,2,1,False
TNO,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3370003,3,2,False
ECOLAB,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33673134,2,3,False
Andre REBENTISCH,Philea,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33652407,2,3,False
Nicolas Overloop_1,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.336475,2,2,True
Agroecology Europe,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33636364,3,1,False
Fraunhofer IAO,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3360917,5,1,False
Fraunhofer IAO,Kieran DALTON,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3359586,5,2,False
Bankenverband,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33590674,3,2,False
Egmont - Royal Institute for International Relations,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33590567,3,1,False
Anonymous_9,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3359034,4,3,False
Anonymous_8,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33582607,0,3,False
Anonymous,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3356611,1,3,False
Anonymous_11,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33556265,4,1,False
Kieran DALTON,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33541453,2,3,False
David Van Geert,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33519322,2,3,False
Maastricht School of Management,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33461803,2,3,False
TNO Vector,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3346062,3,2,False
Anonymous_6,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33412367,4,1,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3338387,3,1,False
bert hubert,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33380306,2,3,False
Anonymous_10,Sanja Terlevic,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33367118,5,2,False
Anonymous_9,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33366036,4,3,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Gabriele De Giorgi,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33359784,1,2,False
F Hanna Campbell,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33340725,3,0,False
F Hanna Campbell,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33324435,3,5,False
Maria Lindqvist,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33315355,2,1,False
Anonymous_11,Bankenverband,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3329389,4,3,False
Melanoma Patient Network Europe,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33291346,1,2,False
Association internationale Futuribles,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33285105,3,3,True
Anonymous,Philea,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33277258,1,3,False
Gaël QUEINNEC,GROUPE VYV,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33267137,4,3,False
Anonymous,Francisco José Viturro Barreiro,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33231795,1,4,False
Maastricht School of Management,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33219355,2,3,False
bert hubert,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3319074,2,2,True
Anonymous_1,Anonymous_6,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33173814,4,4,True
Kevin Bradley,Philea,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33085933,2,3,False
Kieran DALTON,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33063334,2,3,False
EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,Nicolas Overloop_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33062986,3,2,False
GROUPE VYV,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.33010656,3,3,True
Anonymous_4,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3297631,4,1,False
bert hubert,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3296374,2,1,False
GROUPE VYV,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3296265,3,2,False
Ioannis Lamprou,Juan Bartolomé García Martínez,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3296154,3,3,True
Andre REBENTISCH,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3295561,2,3,False
AMALIA MARIA KOUTSOGIANNI,TES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3294378,1,3,False
Gaël QUEINNEC,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3291158,4,3,False
Association internationale Futuribles,Francisco José Viturro Barreiro,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32904312,3,4,False
Anonymous_6,ZOE Institute for Future-fit Economies,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32888886,4,1,False
Anonymous_1,Anonymous_11,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32872593,4,4,True
Francisco José Viturro Barreiro,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32845366,4,3,False
Kevin Bradley,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32819965,2,2,True
Anonymous_11,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32813302,4,1,False
Anonymous_3,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32786867,2,3,False
Matthew Spaniol,TNO Vector,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32771626,1,3,False
Anonymous_5,Gabriele De Giorgi,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32755345,2,2,True
Maria Lindqvist,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32753557,2,3,False
Sanja Terlevic,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32728758,2,1,False
Matthew Spaniol,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32721785,1,3,False
Gaël QUEINNEC,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32710668,4,2,False
SPES project - Sustainabilty Performances Evidence and Scenarios,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32697725,3,2,False
F Hanna Campbell,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3269046,3,2,False
CHEM Trust,Kansaneläkelaitos Kela,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3268999,3,0,False
Anonymous_5,Maastricht School of Management,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32689834,2,2,True
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32681602,1,3,False
Anonymous_1,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3265087,4,1,False
Kansaneläkelaitos Kela,VLAD HERES,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32645774,0,2,False
Davy Anthonissen,Ministry of the Economy Luxembourg,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32576007,2,3,False
Anonymous_8,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3256279,0,1,False
Maria Lindqvist,Nicolas Overloop_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32562506,2,2,True
Nicolas Overloop,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3255521,2,3,False
Anonymous_3,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.325327,2,4,False
CHEM Trust,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3251952,3,1,False
Gaël QUEINNEC,Philea,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32510376,4,3,False
Anonymous_3,Anonymous_4,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3250088,2,4,False
José Luis Rajab_1,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.324868,4,1,False
José Luis Rajab,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.324868,4,1,False
UNESPA,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32482022,3,2,False
Francisco José Viturro Barreiro,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3247785,4,1,False
David Van Geert,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32477692,2,1,False
Simon Önnered,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32474434,3,1,False
ECOLAB,GROUPE VYV,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3244956,2,3,False
Anonymous_3,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32414943,2,2,True
F Hanna Campbell,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32414442,3,2,False
Anonymous_8,EUPHA European Public Health Association,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3240917,0,3,False
Anonymous_3,José Luis Rajab,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32394072,2,4,False
Anonymous_3,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32394072,2,4,False
Ivana Nemčicová,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32383555,0,4,False
Ivana Nemčicová,José Luis Rajab,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32383555,0,4,False
Kevin Bradley,Matthew Spaniol,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3232168,2,1,False
Bankenverband,bert hubert,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3227857,3,2,False
Anonymous_8,Association internationale Futuribles,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32269266,0,3,False
Anonymous_4,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32256594,4,3,False
EUPHA European Public Health Association,Simon Önnered,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3223558,3,3,True
Gabriele De Giorgi,Xylem,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3223441,2,2,True
Anonymous_5,Gaël QUEINNEC,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3221682,2,4,False
ASOCIACION INDUSTRIAL DE CANARIAS ASINCA,Maastricht School of Management,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3217496,3,2,False
Anonymous_3,Matthew Spaniol,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32166648,2,1,False
ECOLAB,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32158658,2,2,True
Association internationale Futuribles,Maria Lindqvist,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32152468,3,2,False
Adrien Cadiot EI,Gabriele De Giorgi,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32147676,1,2,False
Special Secretariat of Foresight,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32141694,1,3,False
Ioannis Lamprou,University of Bergen,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32136044,3,2,False
Anonymous_3,Nicolas Overloop_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3212007,2,2,True
Francisco José Viturro Barreiro,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32119024,4,3,False
Matthew Spaniol,UNESPA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3210797,1,3,False
Philea,The Centre for Future Generations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32089418,3,3,True
Instituto Nacional de Administração IP Portugal,Maastricht School of Management,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3208928,3,2,False
Anonymous_8,NA,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32035747,0,1,False
Anonymous_11,Anonymous_3,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.32031292,4,2,False
Agroecology Europe,Anonymous_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3196299,3,4,False
Anonymous_8,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.31962729,0,3,False
Anonymous_5,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3194602,2,1,False
FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,Philea,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.31831574,1,3,False
Anonymous,Fraunhofer IAO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.318256,1,5,False
Juan Bartolomé García Martínez,SPES project - Sustainabilty Performances Evidence and Scenarios,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.31817007,3,3,True
Anonymous_11,FutuRes Towards a Resilient Future of Europe Horizon Europe funded project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3181286,4,1,False
Association internationale Futuribles,Melanoma Patient Network Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.31781968,3,1,False
Fraunhofer IAO,Instituto Nacional de Administração IP Portugal,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.31774032,5,3,False
CHEM Trust,Special Secretariat of Foresight,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.3174272,3,1,False
